,brand,model,Trim / Edition,year,Transmission,Body type,fuel_type,Engine capacity,Mileage,vehicle_price,COMBINED
45,HONDA,CIVIC,EX TECH PACK (SEDAN),2019,AUTOMATIC,SALOON,PETROL,1000,51000,17000000,CIVIC EX TECH PACK (SEDAN)
46,HONDA,CRV,MASTERPICES  JAPAN ,2018,AUTOMATIC,SUV / 4X4,PETROL,1490,51000,24950000,CRV MASTERPICES  JAPAN
47,HONDA,CRV,HONDA CRV VTIL-7,2024,AUTOMATIC,SUV / 4X4,PETROL,1500,10000,27500000,CRV HONDA CRV VTIL-7
48,HONDA,CIVIC,HONDA,2017,AUTOMATIC,0,PETROL,1000,100862,12300000,CIVIC HONDA
49,HONDA,CRV,AWD,2019,AUTOMATIC,SUV / 4X4,PETROL,1498,60500,26500000,CRV AWD
50,HONDA,CRV,2019,2019,AUTOMATIC,SUV / 4X4,PETROL,1500,87000,21800000,CRV 2019
51,HONDA,CRV,V TEC TURBO,2018,AUTOMATIC,STATION WAGON,PETROL,1500,60000,22290000,CRV V TEC TURBO
52,HONDA,FIT,0,2012,AUTOMATIC,HATCHBACK,PETROL,1300,183000,6100000,FIT 0
53,HONDA,CRV,TURBO PETROL,2024,AUTOMATIC,SUV / 4X4,PETROL,1500,0,28500000,CRV TURBO PETROL
54,HONDA,CRZ,0,2010,AUTOMATIC,COUP̩/SPORTS,PETROL,1500,131000,6250000,CRZ 0
55,HONDA,CRV,EX MASTERPIECE 1ST,2018,AUTOMATIC,SUV / 4X4,PETROL,1500,44000,25500000,CRV EX MASTERPIECE 1ST
56,HONDA,ACCORD,CU2 LUX-NAVI,2008,AUTOMATIC,SALOON,PETROL,2400,164000,9650000,ACCORD CU2 LUX-NAVI
57,HONDA,CRV,FULLY LOADED,2018,AUTOMATIC,SUV / 4X4,PETROL,1500,77000,23000000,CRV FULLY LOADED
58,HONDA,CRV,JAPANESE MASTERPIECE,2018,AUTOMATIC,SUV / 4X4,PETROL,1500,48000,26000000,CRV JAPANESE MASTERPIECE
59,HONDA,VEZEL,RS SENSING 1ST OWNER,2017,AUTOMATIC,SUV / 4X4,PETROL,1500,90000,13800000,VEZEL RS SENSING 1ST OWNER
60,HONDA,CRV,JAPAN MASTERPIECE,2020,AUTOMATIC,SALOON,PETROL,1500,25000,29000000,CRV JAPAN MASTERPIECE
61,HONDA,CIVIC,CIVIC TECHPACK,2018,AUTOMATIC,HATCHBACK,PETROL,1000,68000,14900000,CIVIC CIVIC TECHPACK
62,HONDA,VEZEL,HYBRID Z,2014,AUTOMATIC,SUV / 4X4,PETROL,1490,104000,11090000,VEZEL HYBRID Z
63,HONDA,CIVIC,FD 1,2008,AUTOMATIC,SALOON,PETROL,1800,180593,7300000,CIVIC FD 1
64,HONDA,N-BOX,N BOX,2016,AUTOMATIC,HATCHBACK,PETROL,660,120000,6150000,N-BOX N BOX
65,HONDA,CIVIC,0,2018,AUTOMATIC,SALOON,PETROL,1000,85000,12500000,CIVIC 0
66,HONDA,VEZEL,RS SENSING SAFETY,2018,AUTOMATIC,SUV / 4X4,PETROL,1500,62000,14250000,VEZEL RS SENSING SAFETY
67,HONDA,CITY,RS VTEC TURBO,2024,AUTOMATIC,SALOON,PETROL,1000,0,12800000,CITY RS VTEC TURBO
68,HONDA,CRV,VTIL - 7,2024,AUTOMATIC,HATCHBACK,PETROL,1500,5,27000000,CRV VTIL - 7
69,HONDA,CITY,HONDA CITY RS TURBO,2025,AUTOMATIC,SALOON,PETROL,1000,0,14750000,CITY HONDA CITY RS TURBO
70,HONDA,CRV,RM-2,2012,AUTOMATIC,SUV / 4X4,PETROL,1997,170000,12250000,CRV RM-2
71,HONDA,VEZEL,2024 Z PLAY FULLSPEC,2024,AUTOMATIC,SUV / 4X4,PETROL,1500,100,21800000,VEZEL 2024 Z PLAY FULLSPEC
72,HONDA,FIT SHUTTLE,0,2013,AUTOMATIC,STATION WAGON,PETROL,1330,147000,9200000,FIT SHUTTLE 0
73,HONDA,CITY,RS MODEL,2025,AUTOMATIC,SALOON,PETROL,1000,10,14850000,CITY RS MODEL
74,HONDA,VEZEL,Z PACKAGE,2024,AUTOMATIC,SUV / 4X4,PETROL,1500,0,21000000,VEZEL Z PACKAGE
75,HONDA,FIT,HONDA GP5,2015,AUTOMATIC,HATCHBACK,PETROL,1490,94500,9000000,FIT HONDA GP5
76,HONDA,FIT,0,2013,AUTOMATIC,HATCHBACK,PETROL,1330,102892,7115000,FIT 0
77,HONDA,VEZEL,Z GRADE,2023,AUTOMATIC,SUV / 4X4,PETROL,1500,12800,16850000,VEZEL Z GRADE
78,HONDA,VEZEL,ZRV,2024,AUTOMATIC,SUV / 4X4,PETROL,1500,750,19000000,VEZEL ZRV
79,HONDA,CIVIC,EX,2024,AUTOMATIC,SALOON,PETROL,1500,750,19000000,CIVIC EX
80,HONDA,N-BOX,CUSTOM,2016,AUTOMATIC,HATCHBACK,PETROL,650,76000,6950000,N-BOX CUSTOM
81,HONDA,VEZEL,0,2018,AUTOMATIC,0,PETROL,1500,95000,15300000,VEZEL 0
