Post_Link,Posted_Title,Posted_Date,Brand,Model,Grade,Trim / Edition,Year of Manufacture,Condition,Transmission,Body type,Fuel type,Engine capacity,Mileage,Vehicle_Price
https://ikman.lk/en/ad/honda-city-rs-turbo-2025-for-sale-kurunegala-1,Honda City RS Turbo 2025,"Posted on 18 Nov 4:42 pm, Kurunegala City, Kurunegala323views",Honda,City,0,RS Turbo,2025,Brand New,Automatic,0,Petrol,"1,000 cc",0 km,"Rs 13,350,000"
https://ikman.lk/en/ad/honda-city-rs-vtec-turbo-2025-for-sale-colombo-14,Honda City Rs Vtec Turbo 2025,"Posted on 18 Nov 3:42 pm, Boralesgamuwa, Colombo122views",Honda,City,0,Rs Vtec Turbo,2025,Brand New,Automatic,Saloon,Petrol,"1,000 cc",0 km,"Rs 14,750,000"
https://ikman.lk/en/ad/honda-crv-sunroof-highst-spec-2006-for-sale-colombo,Honda CRV SUNROOF HIGHST SPEC 2006,"Posted on 18 Nov 3:12 pm, Kohuwala, Colombo245views",Honda,CRV,0,SUNROOF HIGHST SPEC,2006,Used,Automatic,SUV / 4x4,Petrol,"2,000 cc","154,500 km","Rs 7,850,000"
https://ikman.lk/en/ad/honda-crv-awd-top-grade-2024-for-sale-colombo,Honda CRV AWD TOP GRADE 2024,"Posted on 18 Nov 1:46 pm, Dehiwala, Colombo385views",Honda,CRV,0,CRV AWD TOP GRADE,2024,Brand New,Automatic,SUV / 4x4,Petrol,"1,500 cc",0 km,"Rs 33,500,000"
https://ikman.lk/en/ad/honda-city-rs-2025-for-sale-gampaha-48,Honda City RS 2025,"Posted on 18 Nov 1:37 pm, Ragama, Gampaha125views",Honda,City,0,RS,2025,Brand New,Automatic,Saloon,Petrol,"1,000 cc",0 km,"Rs 14,275,000"
https://ikman.lk/en/ad/honda-fit-gd1-2007-for-sale-colombo-129,Honda Fit GD1 2007,"Posted on 18 Nov 1:41 pm, Malabe, Colombo146views",Honda,Fit,0,GD1,2007,Used,Automatic,Saloon,Petrol,"1,330 cc","226,000 km","Rs 5,595,000"
https://ikman.lk/en/ad/honda-crv-x-2025-for-sale-colombo-2,Honda CRV X+ 2025,"Posted on 18 Nov 12:00 pm, Kohuwala, Colombo234views",Honda,CRV,0,X+,2025,Import,Automatic,SUV / 4x4,Petrol,"1,500 cc",0 km,"Rs 25,000,000"
https://ikman.lk/en/ad/honda-crv-masterpiece-japan-2018-for-sale-ratnapura-1,Honda CRV Masterpiece Japan 2018,"Posted on 18 Nov 11:52 am, Embilipitiya, Ratnapura309views",Honda,CRV,0,Masterpiece Japan,2018,Used,Automatic,SUV / 4x4,Petrol,"1,500 cc","116,500 km","Rs 18,500,000"
https://ikman.lk/en/ad/honda-n-box-x-grade-2015-for-sale-colombo-1,Honda N-Box X-Grade 2015,"Posted on 18 Nov 11:31 am, Dehiwala, Colombo228views",Honda,N-Box,0,X-Grade,2015,Used,Automatic,Station wagon,Petrol,650 cc,"90,000 km","Rs 5,950,000"
https://ikman.lk/en/ad/honda-civic-16-l-vtec-sedan-2020-for-sale-gampaha-1,Honda Civic 1.6 L- Vtec (Sedan) 2020,"Posted on 18 Nov 11:30 am, Negombo, Gampaha379views",Honda,Civic,0,1.6 L- Vtec (Sedan),2020,Brand New,Automatic,Saloon,Petrol,"1,590 cc","116,000 km","Rs 14,500,000"
https://ikman.lk/en/ad/honda-crv-vti-l-2018-for-sale-kalutara-1,Honda CRV VTi-L 2018,"Posted on 18 Nov 11:56 am, Alutgama, Kalutara306views",Honda,CRV,0,VTi-L,2018,Used,Automatic,Station wagon,Petrol,"1,500 cc","45,000 km","Rs 19,500,000"
https://ikman.lk/en/ad/honda-crv-l7-2025-for-sale-colombo-2,Honda CRV L7 2025,"Posted on 18 Nov 10:47 am, Kohuwala, Colombo146views",Honda,CRV,0,L7,2025,Import,Automatic,SUV / 4x4,Petrol,"1,500 cc",0 km,"Rs 29,500,000"
